0.025,516.111
0.075,542.623
0.125,538.966
0.175,493.221
0.225,469.725
0.275,501.385
0.325,602.267
0.375,582.231
0.425,535.425
0.475,536.151
0.525,561.687
0.575,592.572
0.625,747.247
0.675,588.692
0.725,587.886
0.775,541.213
0.825,504.773
0.875,557.584
0.925,538.109
0.975,508.277
1.025,497.856
1.075,548.485
1.125,553.324
1.175,533.259
1.225,636.907
1.275,555.366
1.325,562.125
1.375,595.536
1.425,666.45
1.475,634.091
1.525,650.923
1.575,642.965
1.625,687.18
1.675,710.283
1.725,751.104
1.775,691.63
1.825,598.356
1.875,890.51
1.925,642.497
1.975,765.787
2.025,703.292
2.075,707.539
2.125,882.38
2.175,690.621
2.225,837.475
2.275,857.503
2.325,779.186
2.375,910.818
2.425,782.659
2.475,887.908
2.525,810.344
2.575,992.383
2.625,1132.93
2.675,962.601
2.725,1000.98
2.775,988.233
2.825,1088.1
2.875,1034.42
2.925,1161.63
2.975,1143.64
3.025,1294.03
3.075,1530.84
3.125,1448.69
3.175,1408.81
3.225,1620.26
3.275,1918.67
3.325,2054.78
3.375,2444.21
3.425,3150.2
3.475,5213.96

